EGID;GDEKT;GDENR;GDENAME;GSTAT;GSTATLAB_DE;GSTATLAB_FR;GSTATLAB_IT;GKODE;GKODN;EDID;EGAID;ESID;STRNAME;DEINR;STRSP;DPLZ4;DPLZZ;DPLZNAME;DKODE;DKODN;DOFFADR;DEXPDAT
11143519;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718836.85;1088448.206;0;101248147;10128279;Via ai Molini;3;IT;6817;0;Maroggia;2718836.85;1088448.206;0;2021-07-19 00:00:00
11143520;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719002.19;1088275.734;0;101248148;10128279;Via ai Molini;69;IT;6817;0;Maroggia;2719002.19;1088275.734;0;2021-07-19 00:00:00
11143521;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719002.01;1088605.52;0;101248149;10128277;Piazzo frazione;3;IT;6817;0;Maroggia;2719002.01;1088605.52;0;2021-07-19 00:00:00
11143522;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718767.29;1088288.86;0;101248150;10139143;Vicolo Francesco Somaini;2;IT;6817;0;Maroggia;2718767.29;1088288.86;0;2021-07-19 00:00:00
11143523;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719041.346;1088148.501;0;101248151;10139139;Via Val Mara;5;IT;6817;0;Maroggia;2719041.346;1088148.501;0;2021-07-19 00:00:00
11143524;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718863.73;1088147.59;0;101248152;10138436;Viale Baldassarre Longhena;15;IT;6817;0;Maroggia;2718863.73;1088147.59;0;2021-07-19 00:00:00
11143525;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719052.94;1088547.07;0;101248153;10128277;Piazzo frazione;6;IT;6817;0;Maroggia;2719052.94;1088547.07;0;2021-07-19 00:00:00
11143526;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719031.717;1088614.279;0;101246526;10128277;Piazzo frazione;11;IT;6817;0;Maroggia;2719031.717;1088614.279;0;2021-07-19 00:00:00
11143527;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719052.933;1088150.125;0;101246527;10139137;Via Ressiga;16;IT;6817;0;Maroggia;2719052.933;1088150.125;0;2021-07-19 00:00:00
11143528;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719080.15;1088180.07;0;101246528;10139137;Via Ressiga;6;IT;6817;0;Maroggia;2719080.15;1088180.07;0;2021-07-19 00:00:00
11143530;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719039.77;1088138.23;0;101246529;10139139;Via Val Mara;4;IT;6817;0;Maroggia;2719039.77;1088138.23;0;2021-07-19 00:00:00
11143531;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718747.801;1088249.373;0;101246530;10139138;Via Tommaso e Giacomo Rodari;3;IT;6817;0;Maroggia;2718747.801;1088249.373;0;2021-07-19 00:00:00
11143532;TI;5195;Maroggia;1004;bestehend;existant;esistente;2719136.41;1088651.87;0;101246531;10128277;Piazzo frazione;13;IT;6817;0;Maroggia;2719136.41;1088651.87;0;2021-07-19 00:00:00
11143533;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718848.43;1088341.38;0;101246532;10128279;Via ai Molini;13;IT;6817;0;Maroggia;2718848.43;1088341.38;0;2021-07-19 00:00:00
11143534;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718836.63;1088359.81;0;101246533;10128279;Via ai Molini;9;IT;6817;0;Maroggia;2718836.63;1088359.81;0;2021-07-19 00:00:00
